9,9
1,0,0,1,E
1,0,0,0,E
1,0,0,0,E
1,0,0,0,E
1,0,0,0,E
1,0,0,0,E
1,0,0,0,E
1,0,0,0,E
1,1,0,0,E
0,0,0,1,E
0,0,0,0,E
0,1,1,0,E
0,0,0,1,E
0,0,0,0,E
0,0,0,0,E
1,1,0,0,E
0,0,1,1,E
0,1,0,0,E
0,0,0,1,S
0,1,1,0,E
1,0,0,1,E
0,1,0,0,E
0,0,1,1,E
0,0,0,0,E
0,0,0,0,E
1,1,0,0,E
0,1,0,1,E
0,0,0,1,E
1,0,1,0,E
0,0,1,0,E
0,0,0,0,E
1,0,0,0,E
0,1,0,0,E
0,0,1,1,E
0,1,0,0,E
0,1,0,1,E
0,0,0,1,E
1,0,0,0,E
1,0,0,0,E
0,0,1,0,E
0,0,0,0,E
0,0,0,0,E
1,1,0,0,E
0,1,0,1,E
0,1,0,1,E
0,0,0,1,E
0,1,1,0,E
0,1,0,1,E
1,0,1,1,E
0,1,0,0,E
0,0,1,1,E
0,1,0,0,E
0,1,0,1,T
0,1,0,1,E
0,1,1,1,E
1,0,0,1,E
0,0,1,0,E
1,1,0,0,E
0,0,0,1,T
1,1,0,0,E
0,0,1,1,E
0,0,0,0,E
0,1,0,0,E
1,0,0,1,E
0,0,0,0,E
1,1,0,0,E
0,1,1,1,E
0,0,0,1,E
0,1,0,0,E
1,1,0,1,E
0,1,0,1,T
0,1,0,1,G
0,1,1,1,E
0,0,1,1,E
0,0,1,0,T
1,1,1,0,G
0,0,1,1,E
0,1,1,0,G
0,0,1,1,G
0,1,1,0,T
0,1,1,1,E
